"","Data","T","RH","V","P","Ra","es","ea","VPD","RS0","Rs","RNL","RNS","ET0"
"","2010-04-01","7.60","74.70","0.80","0.00","26.3","1.04","0.78","0.26","19.73","16.99","4.43","13.09","1.94"
"","2010-04-02","4.90","82.40","1.00","11.40","26.92","0.87","0.71","0.15","20.19","17.31","4.32","13.33","1.73"
"","2010-04-03","3.10","94.00","0.80","0.80","27.26","0.76","0.72","0.05","20.45","13.37","3.19","10.29","1.19"
"","2010-04-04","9.20","74.20","0.90","0.00","27.59","1.16","0.86","0.3","20.69","11.39","2.82","8.77","1.55"
"","2010-04-05","8.50","77.30","1.20","0.00","27.93","1.11","0.86","0.25","20.95","17.69","4.28","13.62","2.13"
"","2010-04-06","7.30","71.00","1.00","0.00","28.26","1.02","0.73","0.3","21.2","14.93","3.67","11.49","1.86"
"","2010-04-07","5.60","84.80","0.90","0.00","28.55","0.91","0.77","0.14","21.41","7.56","1.76","5.82","0.9"
"","2010-04-08","8.80","79.10","0.80","0.00","28.85","1.13","0.9","0.24","21.64","8.28","1.92","6.38","1.15"
"","2010-04-09","7.50","78.60","1.20","0.60","29.14","1.04","0.81","0.22","21.86","10.31","2.39","7.94","1.37"
"","2010-04-10","6.40","81.60","1.40","0.60","29.43","0.96","0.78","0.18","22.07","13.2","3.01","10.16","1.54"
"","2010-04-11","8.40","77.60","0.90","0.00","29.73","1.1","0.86","0.25","22.3","10.8","2.45","8.31","1.44"
"","2010-04-12","10.10","67.20","0.80","0.00","30.02","1.24","0.83","0.41","22.52","9.9","2.31","7.62","1.54"
"","2010-04-13","6.60","82.20","0.60","0.00","30.31","0.97","0.8","0.17","22.73","10.54","2.33","8.12","1.25"
"","2010-04-14","7.00","80.40","0.70","1.40","30.61","1","0.81","0.2","22.96","18.55","4.07","14.29","2.11"
"","2010-04-15","11.50","58.90","0.80","0.00","30.9","1.36","0.8","0.56","23.18","8.39","1.97","6.46","1.56"
"","2010-04-16","6.50","69.60","1.20","0.00","31.19","0.97","0.67","0.29","23.39","17.04","3.83","13.12","2.11"
"","2010-04-17","8.80","58.00","1.30","0.00","31.48","1.13","0.66","0.48","23.61","16.24","3.78","12.51","2.45"
"","2010-04-18","11.90","53.20","0.80","0.00","31.78","1.39","0.74","0.65","23.84","11.41","2.68","8.79","2.01"
"","2010-04-19","9.80","55.50","0.90","0.00","32.07","1.21","0.67","0.54","24.05","16.94","3.9","13.04","2.5"
"","2010-04-20","7.20","49.60","0.80","0.00","32.32","1.02","0.5","0.51","24.24","16.56","3.88","12.75","2.28"
"","2010-04-21","5.20","81.30","1.50","4.60","32.57","0.88","0.72","0.17","24.43","20.58","4.26","15.85","2.17"
"","2010-04-22","4.10","79.60","1.70","0.80","32.87","0.82","0.65","0.17","24.65","16.78","3.46","12.92","1.8"
"","2010-04-23","5.80","65.60","0.90","0.00","33.16","0.92","0.6","0.32","24.87","20.52","4.4","15.8","2.43"
"","2010-04-24","8.40","53.60","1.20","0.00","33.41","1.1","0.59","0.51","25.06","11.33","2.53","8.72","2.01"
"","2010-04-25","10.30","42.00","1.60","0.00","33.66","1.25","0.53","0.73","25.25","21.44","5.03","16.51","3.61"
"","2010-04-26","14.20","48.60","1.90","4.20","33.91","1.62","0.79","0.83","25.43","10.78","2.42","8.3","2.94"
"","2010-04-27","9.40","92.80","1.50","0.20","34.16","1.18","1.09","0.08","25.62","20.2","3.73","15.55","2.29"
"","2010-04-28","11.20","73.20","1.10","3.80","34.42","1.33","0.97","0.36","25.82","14.42","2.84","11.1","2.18"
"","2010-04-29","15.20","62.50","0.90","0.00","34.67","1.73","1.08","0.65","26","17.39","3.49","13.39","2.96"
"","2010-04-30","17.80","53.50","1.30","0.00","34.92","2.04","1.09","0.95","26.19","15.64","3.24","12.05","3.35"
